iter	MultiClass
0	1.813906077
1	1.711555063
2	1.626516432
3	1.556093238
4	1.496902053
5	1.446783329
6	1.402437304
7	1.364053862
8	1.331544623
9	1.301969507
10	1.275994582
11	1.254016559
12	1.232337625
13	1.213094839
14	1.197338444
15	1.182002097
16	1.168811803
17	1.156347129
18	1.143954582
19	1.131623437
20	1.121312631
21	1.109814449
22	1.100527457
23	1.092755612
24	1.085276337
25	1.078524224
26	1.07166278
27	1.064463374
28	1.059996039
29	1.054504569
30	1.048729574
31	1.042565372
32	1.036698269
33	1.031907342
34	1.026790711
35	1.022551991
36	1.018387402
37	1.014816204
38	1.010625257
39	1.007139722
40	1.003378381
41	0.9997760551
42	0.9964008827
43	0.9941189576
44	0.9923425761
45	0.9900921587
46	0.9878156828
47	0.9851230375
48	0.9826134749
49	0.979867724
50	0.9779086992
51	0.9752198358
52	0.9732799438
53	0.9707911537
54	0.9687391911
55	0.9666408675
56	0.9643107933
57	0.9617928755
58	0.9592969101
59	0.9573046211
60	0.9545082705
61	0.9531544736
62	0.9516746804
63	0.9503532074
64	0.9475514719
65	0.9458103545
66	0.9443007969
67	0.9434195837
68	0.9414172838
69	0.9398096538
70	0.9378874023
71	0.9366896866
72	0.9361671615
73	0.9345228403
74	0.9331073955
75	0.9315430379
76	0.9296641276
77	0.9279164217
78	0.9263772868
79	0.9247513067
80	0.9231409668
81	0.9219045671
82	0.9209887194
83	0.9199787993
84	0.919515294
85	0.9184132442
86	0.9178950474
87	0.9172025874
88	0.915058494
89	0.9138952293
90	0.9129726393
91	0.9114991916
92	0.9095331874
93	0.9084501546
94	0.9070729549
95	0.9056426163
96	0.9043429222
97	0.9020372319
98	0.901284105
99	0.8997392994
100	0.8986942596
101	0.897143876
102	0.8961009054
103	0.8945335486
104	0.8938982476
105	0.8930280627
106	0.8923154258
107	0.8902885998
108	0.889246398
109	0.8887488602
110	0.8880248728
111	0.8858465841
112	0.8838077232
113	0.8827173913
114	0.8810128776
115	0.8798729496
116	0.8787284356
117	0.877682716
118	0.8761696286
119	0.8751386723
120	0.8732085752
121	0.8714474344
122	0.8706309578
123	0.86969995
124	0.8684670965
125	0.8674352745
126	0.8664733701
127	0.8654251412
128	0.8644155832
129	0.8634168925
130	0.8624540152
131	0.8616559309
132	0.8606082654
133	0.8598270415
134	0.8583426789
135	0.8565178911
136	0.8551313433
137	0.8545431416
138	0.8531474979
139	0.8524752375
140	0.8503010761
141	0.8488094012
142	0.847168036
143	0.8465622793
144	0.8453291487
145	0.8448554123
146	0.844329552
147	0.8433156487
148	0.8425312373
149	0.8410043707
150	0.8399702835
151	0.8390106692
152	0.8382852004
153	0.8375714774
154	0.8365824106
155	0.8356520592
156	0.8345675117
157	0.8337591184
158	0.8329331395
159	0.8318053572
160	0.8304581157
161	0.829927006
162	0.8290173536
163	0.8283880399
164	0.8268495212
165	0.8260144795
166	0.8251211266
167	0.8247524383
168	0.8232664338
169	0.8226241176
170	0.8213563471
171	0.8205761761
172	0.8197340813
173	0.818705773
174	0.8176169702
175	0.8165660296
176	0.8154725877
177	0.8145876748
178	0.8136197225
179	0.8121501205
180	0.8117801294
181	0.811391645
182	0.8102371139
183	0.8085376806
184	0.8076036421
185	0.807039904
186	0.8065915885
187	0.8055177046
188	0.804615597
189	0.8030191781
190	0.8018511621
191	0.8004588832
192	0.7999994013
193	0.7986104325
194	0.7975440781
195	0.796512375
196	0.7955745293
197	0.7941939379
198	0.7931911507
199	0.7920323319
200	0.791055698
201	0.7895700794
202	0.7883961553
203	0.7870440729
204	0.7861807873
205	0.7857731105
206	0.7841579404
207	0.7824574746
208	0.7810091754
209	0.7808022508
210	0.780154367
211	0.7789715555
212	0.7786996501
213	0.7783589935
214	0.7774385018
215	0.7763922262
216	0.7760020021
217	0.7751784411
218	0.7747293762
219	0.7740396612
220	0.7735663545
221	0.7727831139
222	0.7715900717
223	0.7706160349
224	0.7699758417
225	0.7687496214
226	0.7680455657
227	0.7668844139
228	0.7661742154
229	0.7654110176
230	0.7646529806
231	0.7640480253
232	0.7630402281
233	0.7626392737
234	0.7615545592
235	0.7609233611
236	0.7596063213
237	0.7587913805
238	0.7578493838
239	0.7573878462
240	0.7564244366
241	0.7558582934
242	0.7551151355
243	0.7540172062
244	0.7533116445
245	0.7525877547
246	0.7516439024
247	0.7504134667
248	0.7498023823
249	0.7482782025
250	0.7475125335
251	0.7465389733
252	0.7448416631
253	0.7440671188
254	0.7438581671
255	0.7431115922
256	0.7425762137
257	0.74188163
258	0.7407343118
259	0.7395825966
260	0.7387401035
261	0.7377958214
262	0.736930844
263	0.7359763715
264	0.7353033469
265	0.7345121445
266	0.7330229047
267	0.7321123012
268	0.7311526386
269	0.7304910659
270	0.7294726504
271	0.728824324
272	0.7280234684
273	0.7271872413
274	0.7261335553
275	0.725481265
276	0.7237066456
277	0.722631545
278	0.7214683843
279	0.7207833097
280	0.7202613376
281	0.7194799031
282	0.7186045604
283	0.7180516554
284	0.7170061357
285	0.7159895842
286	0.7157027078
287	0.7149932251
288	0.7142188022
289	0.7140681271
290	0.7132221725
291	0.7125530839
292	0.7112546518
293	0.7104451519
294	0.7096772288
295	0.7092851121
296	0.7086150995
297	0.7075000636
298	0.7060415768
299	0.7048325777
300	0.7036545993
301	0.7027900409
302	0.702335583
303	0.7016644732
304	0.7009644756
305	0.7004271042
306	0.7002255589
307	0.6994926829
308	0.6988106428
309	0.6976539893
310	0.6965477959
311	0.6959880746
312	0.6951480436
313	0.6944961457
314	0.6936759271
315	0.6925643365
316	0.6919782173
317	0.6913860593
318	0.6907980787
319	0.6899263536
320	0.6893457983
321	0.6888911328
322	0.6883159817
323	0.6876952355
324	0.6870787179
325	0.6860643522
326	0.6857166079
327	0.6851428994
328	0.6839563841
329	0.6828994698
330	0.6827885894
331	0.6825315621
332	0.6817167944
333	0.680980295
334	0.6802297767
335	0.6798233263
336	0.6792881106
337	0.6784911648
338	0.678069481
339	0.677428815
340	0.676450866
341	0.6756942847
342	0.6751163401
343	0.674971344
344	0.6745236535
345	0.6738408425
346	0.6728281794
347	0.672578416
348	0.6722171248
349	0.6714846365
350	0.6700976212
351	0.6686007999
352	0.6682093494
353	0.6676297468
354	0.6670645248
355	0.6665207738
356	0.6659568338
357	0.6654169988
