iter	Passed	Remaining
0	26	26679
1	45	22755
2	65	21649
3	85	21272
4	105	20972
5	124	20606
6	142	20236
7	160	19884
8	179	19819
9	200	19838
10	220	19853
11	241	19908
12	261	19856
13	280	19733
14	299	19683
15	317	19541
16	337	19491
17	354	19325
18	373	19291
19	392	19223
20	410	19118
21	429	19078
22	448	19064
23	466	18984
24	485	18933
25	505	18933
26	523	18856
27	541	18792
28	558	18713
29	577	18667
30	597	18671
31	618	18697
32	636	18664
33	656	18665
34	678	18709
35	696	18657
36	715	18635
37	733	18570
38	751	18522
39	774	18594
40	792	18547
41	813	18545
42	832	18537
43	854	18565
44	874	18555
45	893	18521
46	912	18495
47	930	18463
48	949	18425
49	968	18408
50	989	18416
51	1008	18385
52	1026	18349
53	1047	18345
54	1066	18332
55	1083	18264
56	1096	18135
57	1111	18046
58	1126	17966
59	1143	17909
60	1161	17876
61	1180	17865
62	1198	17823
63	1217	17798
64	1236	17780
65	1254	17759
66	1274	17743
67	1292	17715
68	1314	17740
69	1334	17726
70	1352	17696
71	1371	17674
72	1390	17663
73	1410	17649
74	1430	17641
75	1451	17645
76	1471	17633
77	1488	17599
78	1507	17574
79	1527	17563
80	1550	17591
81	1570	17586
82	1590	17572
83	1612	17583
84	1633	17582
85	1653	17572
86	1669	17518
87	1686	17476
88	1704	17446
89	1721	17403
90	1740	17388
91	1760	17376
92	1780	17364
93	1802	17368
94	1820	17340
95	1841	17336
96	1859	17307
97	1881	17320
98	1901	17302
99	1919	17274
100	1939	17262
101	1961	17268
102	1979	17242
103	1998	17214
104	2016	17189
105	2036	17178
106	2056	17162
107	2075	17140
108	2093	17113
109	2111	17085
110	2130	17066
111	2149	17041
112	2168	17025
113	2187	16999
114	2206	16978
115	2223	16946
116	2240	16909
117	2258	16882
118	2276	16855
119	2298	16856
120	2320	16859
121	2340	16845
122	2359	16823
123	2382	16833
124	2403	16826
125	2422	16800
126	2444	16803
127	2464	16789
128	2485	16780
129	2503	16754
130	2520	16720
131	2538	16692
132	2556	16662
133	2576	16648
134	2595	16631
135	2615	16615
136	2633	16587
137	2654	16578
138	2672	16555
139	2690	16527
140	2711	16517
141	2730	16496
142	2748	16469
143	2766	16445
144	2785	16427
145	2804	16402
146	2822	16375
147	2843	16369
148	2864	16361
149	2886	16355
150	2911	16369
151	2929	16344
152	2948	16320
153	2966	16295
154	2985	16276
155	3007	16272
156	3026	16252
157	3044	16223
158	3062	16198
159	3080	16175
160	3099	16152
161	3116	16123
162	3134	16096
163	3151	16067
164	3170	16046
165	3188	16019
166	3206	15996
167	3225	15974
168	3246	15964
169	3265	15940
170	3283	15919
171	3301	15894
172	3321	15877
173	3340	15858
174	3359	15837
175	3377	15811
176	3395	15785
177	3413	15761
178	3432	15743
179	3451	15723
180	3468	15695
181	3490	15688
182	3509	15669
183	3528	15650
184	3545	15620
185	3564	15599
186	3582	15574
187	3602	15558
188	3620	15534
189	3640	15518
190	3659	15498
191	3677	15474
192	3695	15453
193	3714	15431
194	3732	15410
195	3752	15392
196	3772	15375
197	3791	15358
198	3809	15334
199	3828	15312
200	3849	15302
201	3870	15289
202	3888	15268
203	3908	15252
204	3926	15227
205	3946	15210
206	3965	15190
207	3984	15172
208	4004	15156
209	4024	15141
210	4044	15123
211	4064	15106
212	4082	15085
213	4102	15067
214	4121	15046
215	4139	15024
216	4157	15000
217	4175	14976
218	4193	14953
219	4211	14932
220	4230	14911
221	4249	14892
222	4267	14869
223	4290	14861
224	4308	14840
225	4327	14820
226	4347	14805
227	4366	14783
228	4385	14765
229	4404	14743
230	4422	14722
231	4440	14701
232	4460	14682
233	4478	14660
234	4497	14641
235	4515	14618
236	4536	14605
237	4556	14587
238	4575	14569
239	4594	14549
240	4612	14526
241	4631	14507
242	4650	14488
243	4674	14481
244	4694	14467
245	4716	14456
246	4737	14441
247	4759	14432
248	4780	14417
249	4798	14395
250	4812	14359
251	4826	14325
252	4843	14299
253	4861	14278
254	4881	14261
255	4899	14238
256	4920	14224
257	4940	14209
258	4960	14192
259	4982	14180
260	4999	14156
261	5019	14137
262	5041	14126
263	5059	14104
264	5077	14083
265	5096	14063
266	5115	14043
267	5134	14022
268	5154	14006
269	5172	13984
270	5190	13962
271	5208	13939
272	5227	13921
273	5246	13901
274	5266	13884
275	5285	13865
276	5305	13847
277	5322	13822
278	5336	13790
279	5349	13755
280	5368	13736
281	5387	13718
282	5406	13697
283	5424	13676
284	5444	13659
285	5465	13643
286	5483	13621
287	5501	13600
288	5518	13576
289	5536	13553
290	5553	13530
291	5571	13508
292	5589	13488
293	5607	13464
294	5625	13444
295	5644	13425
296	5663	13405
297	5682	13385
298	5702	13369
299	5721	13351
300	5739	13328
301	5757	13307
302	5780	13296
303	5802	13283
304	5820	13263
305	5838	13241
306	5855	13217
307	5873	13195
308	5892	13176
309	5911	13158
310	5931	13141
311	5949	13120
312	5969	13102
313	5987	13080
314	6005	13058
315	6025	13042
316	6043	13020
317	6061	12999
318	6078	12976
319	6096	12955
320	6117	12939
321	6138	12925
322	6158	12908
323	6177	12888
324	6196	12870
325	6218	12856
326	6236	12836
327	6255	12815
328	6274	12797
329	6294	12780
330	6313	12759
331	6331	12739
332	6351	12722
333	6370	12703
334	6391	12687
335	6409	12667
336	6428	12646
337	6447	12627
338	6466	12609
339	6485	12590
340	6505	12573
341	6525	12554
342	6545	12536
343	6561	12512
344	6578	12488
345	6595	12467
346	6615	12448
347	6636	12432
348	6653	12411
349	6674	12395
350	6694	12377
351	6712	12356
352	6732	12339
353	6749	12317
354	6769	12300
355	6788	12281
356	6813	12271
357	6833	12254
358	6852	12235
359	6871	12216
360	6892	12201
361	6912	12182
362	6931	12163
363	6950	12143
364	6969	12125
365	6991	12111
366	7011	12093
367	7031	12075
368	7047	12052
369	7065	12030
370	7080	12005
371	7095	11977
372	7110	11951
373	7129	11934
374	7148	11914
375	7168	11896
376	7186	11875
377	7205	11856
378	7227	11841
379	7245	11821
380	7266	11804
381	7285	11786
382	7304	11767
383	7325	11752
384	7345	11733
385	7364	11715
386	7383	11694
387	7401	11674
388	7418	11651
389	7438	11635
390	7458	11616
391	7476	11596
392	7494	11575
393	7514	11557
394	7533	11537
395	7551	11518
396	7572	11501
397	7591	11482
398	7610	11463
399	7629	11444
400	7647	11423
401	7667	11406
402	7686	11386
403	7703	11365
404	7722	11345
405	7744	11331
406	7764	11313
407	7783	11294
408	7805	11278
409	7835	11275
410	7859	11263
411	7877	11242
412	7892	11217
413	7905	11189
414	7920	11164
415	7937	11142
416	7961	11130
417	7983	11115
418	8000	11093
419	8019	11075
420	8039	11056
421	8059	11039
422	8079	11021
423	8099	11003
424	8119	10985
425	8139	10967
426	8157	10946
427	8175	10926
428	8193	10905
429	8211	10885
430	8228	10863
431	8247	10843
432	8265	10823
433	8287	10807
434	8307	10790
435	8327	10772
436	8346	10753
437	8366	10735
438	8385	10716
439	8404	10696
440	8421	10675
441	8440	10655
442	8458	10635
443	8478	10616
444	8496	10596
445	8514	10576
446	8532	10555
447	8551	10536
448	8570	10516
449	8588	10497
450	8606	10476
451	8625	10457
452	8643	10437
453	8663	10419
454	8681	10398
455	8698	10377
456	8716	10357
457	8734	10336
458	8749	10312
459	8764	10288
460	8780	10265
461	8798	10245
462	8816	10225
463	8835	10206
464	8854	10187
465	8874	10169
466	8896	10154
467	8916	10135
468	8936	10117
469	8954	10097
470	8973	10078
471	8991	10058
472	9009	10038
473	9028	10018
474	9048	10000
475	9067	9982
476	9087	9963
477	9106	9944
478	9125	9925
479	9144	9906
480	9164	9888
481	9182	9868
482	9198	9845
483	9213	9822
484	9229	9800
485	9249	9782
486	9266	9761
487	9285	9742
488	9304	9722
489	9321	9702
490	9340	9683
491	9358	9662
492	9377	9643
493	9395	9623
494	9413	9603
495	9432	9584
496	9451	9565
497	9470	9546
498	9490	9528
499	9510	9510
500	9533	9495
501	9559	9483
502	9584	9470
503	9603	9450
504	9623	9432
505	9641	9413
506	9659	9392
507	9680	9375
508	9700	9357
509	9717	9336
510	9733	9314
511	9748	9291
512	9763	9268
513	9780	9247
514	9793	9223
515	9809	9201
516	9824	9178
517	9840	9156
518	9855	9134
519	9872	9113
520	9889	9091
521	9906	9071
522	9921	9048
523	9936	9026
524	9952	9004
525	9966	8980
526	9985	8962
527	10005	8944
528	10024	8925
529	10048	8910
